"nama_resto","kategori_resto","rating_resto","menu_resto","harga"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Spesial Ayam Spicy Lengkuas McD Sambal Bajak","46.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 1 Ayam Spicy Lengkuas McD Sambal Bajak Large","44.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 1 Ayam Krispy Lengkuas McD Sambal Bajak Large","44.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 1 Ayam Krispy Lengkuas McD Sambal Bajak","39.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 1 Ayam Spicy Lengkuas McD Sambal Bajak","39.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Ayam Krispy Lengkuas McD Sambal Bajak","193.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Ayam Spicy Lengkuas McD Sambal Bajak","193.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Ayam Mix Lengkuas McD Sambal Bajak","193.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Krispy Lengkuas McD Sambal Bajak","138.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Spicy Lengkuas McD Sambal Bajak","138.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Mix Lengkuas McD Sambal Bajak","138.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Ayam Krispy Lengkuas McD Sambal Bajak  ALC","149.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Ayam Spicy Lengkuas McD Sambal Bajak  ALC","149.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Ayam Mix Lengkuas McD Sambal Bajak  ALC","149.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Krispy Lengkuas McD Sambal Bajak  ALC","110.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Spicy Lengkuas McD Sambal Bajak  ALC","110.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Mix Lengkuas McD Sambal Bajak  ALC","110.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Lengkuas Sambal Bajak ALC","9.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee Sea Salt Caramel with Jelly Float","27.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee Sea Salt Caramel Float","25.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee Sea Salt Caramel with Jelly","24.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee Sea Salt Caramel","21.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 2  Krispy, Large","52.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 2  Krispy, Medium","46.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 2  Spicy, Large","52.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 2  Spicy, Medium","46.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Special Krispy, Large","47.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Special Krispy, Medium","42.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Special Spicy, Large","47.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Special Spicy, Medium","42.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 1 Krispy, Large","40.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 1 Krispy, Medium","34.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 1 Spicy, Large","40.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 1 Spicy, Medium","34.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Krispy Medium","161.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Spicy Medium","161.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Mix Medium","161.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Krispy Medium","111.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Spicy Medium","111.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Mix Medium","111.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Big Breakfast Combo","41.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Paket Hemat Sausage McMuffin with Egg","40.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Paket Hemat Chicken McMuffin with Egg","38.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Paket Hemat Egg McMuffin","37.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Paket Hemat Sausage McMuffin","37.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Paket Hemat Chicken McMuffin","34.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Paket Hemat Sausage Wrap","34.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Hotcakes 2pcs Combo","27.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Paket Nasi Uduk McD Ayam Suwir","26.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Happy Meal Chicken McD Breakfast","39.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Happy Meal Egg Cheese Muffin","39.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee Jelly Float","23.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee Float","21.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee Jelly","20.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee","18.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Sweet Corn","11.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Apple Pie","11.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","HashBrown","12.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Breakfast Wrap","16.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Egg & Cheese Muffin","15.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","McD Chicken Porridge","12.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Big Breakfast","36.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Sausage McMuffin® With Egg","29.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Chicken McMuffin With Egg","28.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Egg McMuffin","25.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Sausage McMuffin","26.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Chicken McMuffin","24.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Sausage Wrap","23.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Hotcakes 2Pcs","23.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Hot Cakes 3pcs","28.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Nasi Uduk McD Ayam Suwir","20.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Krispy","112.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Spicy","112.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 7 Mix","112.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Krispy","83.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Spicy","83.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Mix","83.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","2 pcs Krispy Chicken McD","37.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","2 pcs Spicy Chicken McD","37.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","1pc Krispy Chicken","19.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","1pc Spicy Chicken","19.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","McFlurry Feat. Oreo","12.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","McFlurry Choco","12.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Choco Sundae","11.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Strawberry Sundae","11.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Lychee Tea","19.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Milo Medium","16.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Fanta Float","13.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Coke Float","13.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Fruit Tea Lemon Large","13.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Large Coca-Cola","13.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Large Fanta","13.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Large Sprite","13.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Country Choice Orange","13.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Tehbotol Tawar","9.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Bottled Mineral Water","9.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Fruit Tea Blackcurrant","9.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Hot Coffee","12.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Hot Tea","12.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Family Weekend Breakfast Berempat Happy Meal Egg & Cheese Muffin dengan 2pcs reg","145.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Family Weekend Breakfast Bertiga Happy Meal Egg & Cheese Muffin dengan 2pcs reg.","102.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Family Time Breakfast Berempat Happy Meal Egg & Cheese Muffin, PaNas Krispy With","130.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Family Time Breakfast Bertiga Happy Meal Egg & Cheese Muffin, PaNas Krispy With","87.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Ongol Ongol 1 Pcs","15.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Lontong Biasa","22.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Lontong Perkedel","28.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Lontong Rendang","43.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Lontong Telur","28.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Lontong Perkedel + Telur","33.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Lontong Perkedel + Rendang","47.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Lontong Rendang + Telur","47.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Tambah Lontong","10.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Lontong Perkedel + Rendang + Telur","50.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning Biasa","22.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning Perkedel","28.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning Telur","28.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning Rendang","43.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning Perkedel + Telur","33.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning Perkedel + Rendang","47.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning Perkedel + Rendang + Telur","50.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning Rendang + Telur","47.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk Telur","28.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk Biasa","22.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk Perkedel","28.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk Rendang","43.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk Perkedel + Telur","33.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk Rendang + Telur","47.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk Perkedel + Rendang + Telur","50.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk Perkedel + Rendang","47.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","emping","4.500"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Kentang Balado","10.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Tambah Sambal","7.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Uduk","8.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Perkedel","9.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Nasi Kuning","8.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Rendang Daging","25.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Tempe Orek","10.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Telur","9.000"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Aqua 600 mL","7.500"
"Lontong Sayur Medan Kak Ika - Petojo Selatan","Rice","4.7","Aqua 1500 mL","13.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Ayam Karage","35.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Ayam Biasa + Sate Ati","19.800"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Ayam Biasa + Sate Ampela","19.800"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Ayam Spesial","18.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Ayam Otak otak","28.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Ayam Nugget","28.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Ayam Sosis","28.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Ayam Biasa","16.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Bubur Polos","10.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Sate Telur","5.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Sate Ati","5.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Sate Ampela","5.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Sate Usus","5.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Kebab Mini Frozen","40.000"
"Bubur Ayam H. Hadi - Kebon Sirih","Breakfast","4.7","Prima 600ml","6.000"
"Bubur Ayam Cideng 48 - Petojo Selatan","Breakfast","4.7","tambah krupuk","2.000"
"Bubur Ayam Cideng 48 - Petojo Selatan","Breakfast","4.7","bubur ayam cideng 48","14.000"
"Bubur Ayam Cideng 48 - Petojo Selatan","Breakfast","4.7","bubur ayam special 48","17.000"
"Bubur Ayam Cideng 48 - Petojo Selatan","Breakfast","4.7","sate usus","3.000"
"Bubur Ayam Cideng 48 - Petojo Selatan","Breakfast","4.7","bubur ayam bungkus mica","16.000"
"Bubur Ayam Cideng 48 - Petojo Selatan","Breakfast","4.7","sate ampela","3.000"
"Bubur Ayam Cideng 48 - Petojo Selatan","Breakfast","4.7","sate ati","3.000"
"Bubur Ayam Cideng 48 - Petojo Selatan","Breakfast","4.7","telor puyuh","4.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Hari Raya bareng Mantan","129.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Hari Raya Penuh Cerita","126.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Bundle 99% Sarapan Cerita Klasik","50.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","99% Pasti Move on","79.999"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Bundle of 12","115.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Bundle of 6","60.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Pesta Kenangan Cerita Roti 1","117.500"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Pesta Kenangan Cerita Roti 2","118.500"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Pesta Kenangan Cerita Roti 3","114.500"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Hari Raya bareng Mantan","129.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Hari Raya Penuh Cerita","126.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Join The Dark Side","29.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Mr. Hazelnut","29.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Berry Funfetti","19.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Red Velvet Madness","25.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","BunDEAL Light Caramel 1","50.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","BunDEAL Light Caramel 2","50.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Box of 12 Cookies","292.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Box of 3 Cookies","73.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Box of 6 Cookies","146.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Biscoff Crunch","25.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Friend-Chip","19.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Kopi Kenangan Mantan with Sultan Boba","25.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Hazelnut Choco Milk Tea With Sultan Boba","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Jasmine Earl Grey Milk Tea With Sultan Boba","23.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Kenangan Milk Tea With Sultan Boba","23.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Susu Sultan Boba Gula Aren","24.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Bundle 99% Sarapan Cerita Klasik","50.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","99% Juice","24.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","99% Pasti Move on","79.999"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Americano","15.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Avocado Coffee","28.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Cappucino","22.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Caramel Latte","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Dua Shot Iced Shaken","28.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Hazelnut Latte","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Kopi Kelapa","22.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Kopi Kenangan Mantan","20.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Latte","22.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Salted Caramel Macchiato","28.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Vanilla Latte","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Mocha Latte","28.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Kopi Dolce","22.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Cappuccino","22.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Americano","15.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Caramel Latte","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Dua Shot Iced Shaken","28.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Hazelnut Latte","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Kopi Kenangan Mantan","20.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Vanilla Latte","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Kopi Kelapa","22.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Mocha Latte","28.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Latte","22.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Avocado Coffee","28.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Kopi Dolce","22.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Light Salted Caramel Macchiato","28.001"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Oreo Cookies & Cream Shake","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Kenangan Milk Tea Grass Jelly Gula Aren","23.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","100% Cokelat","26.000"
"Kopi Kenangan x Cerita Roti x Kenangan Manis - Ruko Cideng","Coffee,Snack,Breakfast","4.9","Avocado Milk","24.000"
